Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
96,2014-11-05,LAC,@,GSW,1st,0:00.0,LAC down 10 (20-30),J. Crawford misses 3-pt shot from 36 ft,LAC down 10 (20-30)
97,2014-11-05,LAC,@,GSW,2nd,2:35.0,LAC down 23 (35-58),J. Redick misses 2-pt shot from 15 ft,LAC down 23 (35-58)
98,2014-11-05,LAC,@,GSW,2nd,2:14.0,LAC down 25 (35-60),D. Jordan makes 2-pt shot at rim (assist by C. Paul),LAC down 23 (37-60)
99,2014-11-05,LAC,@,GSW,2nd,1:31.0,LAC down 23 (37-60),B. Griffin misses 2-pt shot from 14 ft,LAC down 23 (37-60)
100,2014-11-05,LAC,@,GSW,2nd,0:47.0,LAC down 25 (37-62),C. Paul makes 3-pt shot from 31 ft,LAC down 22 (40-62)
101,2014-11-05,LAC,@,GSW,2nd,0:03.0,LAC down 25 (40-65),C. Paul makes 2-pt shot from 13 ft,LAC down 23 (42-65)
102,2014-11-05,LAC,@,GSW,3rd,2:37.0,LAC down 24 (66-90),B. Griffin makes 2-pt shot from 20 ft (assist by J. Crawford),LAC down 22 (68-90)
103,2014-11-05,LAC,@,GSW,3rd,2:12.0,LAC down 22 (68-90),J. Crawford makes 3-pt shot from 23 ft (assist by C. Paul),LAC down 19 (71-90)
104,2014-11-05,LAC,@,GSW,3rd,1:51.0,LAC down 21 (71-92),S. Hawes misses 3-pt shot from 25 ft,LAC down 21 (71-92)
105,2014-11-05,LAC,@,GSW,3rd,0:46.0,LAC down 24 (73-97),C. Paul misses 2-pt shot from 1 ft,LAC down 24 (73-97)
106,2014-11-05,LAC,@,GSW,3rd,0:34.0,LAC down 26 (73-99),J. Crawford makes 2-pt shot from 3 ft (assist by J. Farmar),LAC down 24 (75-99)
107,2014-11-05,LAC,@,GSW,3rd,0:02.0,LAC down 27 (75-102),C. Paul misses 3-pt shot from 29 ft,LAC down 27 (75-102)
108,2014-11-05,LAC,@,GSW,4th,2:32.0,LAC down 19 (98-117),S. Hawes misses 2-pt shot from 15 ft,LAC down 19 (98-117)
109,2014-11-05,LAC,@,GSW,4th,2:11.0,LAC down 21 (98-119),C. Douglas-Roberts misses 2-pt shot from 6 ft,LAC down 21 (98-119)
110,2014-11-05,LAC,@,GSW,4th,2:03.0,LAC down 21 (98-119),J. Cunningham misses 3-pt shot from 25 ft,LAC down 21 (98-119)
